,timestamp,open,high,low,close,volume_(btc),volume_(currency),weighted_price,volumn_square,ma10,rsi30,rsi10,%k10,ema200,ma200,rsi200,%k30,ema10,signal
0,1340318100,6.64,6.64,6.64,6.64,2.01984073,13.41174245,6.64,4.079756574566932,6.643,50.3800504722906,43.3935268152176,0.0,6.524184,6.5234,53.550844,0.0,6.6466197885,1.0
1,1340332500,6.64,6.64,6.64,6.64,54.0,358.56,6.64,2916.0,6.643,50.3800504722906,43.3935268152176,0.0,6.525336,6.5246,53.550844,0.0,6.6454161906,1.0
2,1340333220,6.65,6.65,6.65,6.65,0.61203008,4.070000032,6.65,0.3745808188248064,6.644,52.3199418909821,50.3827493960072,100.0,6.526576,6.52585,53.681452,20.0,6.6462496105,1.0
3,1340340660,6.63,6.63,6.63,6.63,14.9535567,99.14208092,6.63,223.6088579801149,6.643,48.4046725572406,39.5351497484242,0.0,6.527605,6.527,53.379753,0.0,6.6432951359,1.0
4,1340344140,6.63,6.63,6.63,6.63,1.01238171,6.712090737,6.63,1.0249167267425243,6.641,48.4046725572406,39.5351497484242,0.0,6.528624,6.52815,53.379753,0.0,6.6408778384,1.0
5,1340350320,6.66,6.66,6.63,6.63,155.324144,1029.942777,6.630925178,24125.589709332733,6.64,48.4046725572406,39.5351497484242,0.0,6.529633,6.5293,53.379753,0.0,6.6389000496,1.0
6,1340350380,6.63,6.63,6.63,6.63,10.0,66.3,6.63,100.0,6.638,48.4046725572406,39.5351497484242,0.0,6.530632,6.53105,53.379753,0.0,6.6372818588,1.0
7,1340350620,6.63,6.63,6.63,6.63,4.37416649,29.00072383,6.63,19.133332482238924,6.637,48.4046725572406,39.5351497484242,0.0,6.53162,6.5328,53.379753,0.0,6.6359578845,1.0
8,1340350980,6.62,6.62,6.62,6.62,23.09458944,152.8861821,6.62,533.3600614021595,6.635,46.3500552847473,33.4389181180686,0.0,6.5325,6.53385,53.226385,0.0,6.6330564509,1.0
9,1340351040,6.61,6.61,6.61,6.61,61.91639121,409.2673459,6.61,3833.639500469765,6.631,44.4004173892154,28.5477994523352,0.0,6.533271,6.5348,53.073133,0.0,6.6288643689,1.0
10,1340351100,6.6,6.6,6.6,6.6,25.46031653,168.0380891,6.6,648.2277178077912,6.627,42.5489510690836,24.5567717218233,0.0,6.533935,6.53565,52.919997,0.0,6.6236163019,1.0
